201	raspberry pi	clueweb12-0300tw-49-08295
201	raspberry pi	clueweb12-0401tw-00-05277
201	raspberry pi	clueweb12-0500tw-11-17774
201	raspberry pi	clueweb12-0500tw-14-16637
201	raspberry pi	clueweb12-0711wb-28-10462
201	raspberry pi	clueweb12-0711wb-42-19297
201	raspberry pi	clueweb12-0711wb-72-07347
201	raspberry pi	clueweb12-0712wb-66-26107
201	raspberry pi	clueweb12-0809wb-37-01955
201	raspberry pi	clueweb12-0810wb-78-21417
201	raspberry pi	clueweb12-0900tw-63-01604
201	raspberry pi	clueweb12-0915wb-38-28283
201	raspberry pi	clueweb12-1004wb-00-27297
201	raspberry pi	clueweb12-1100tw-72-06488
201	raspberry pi	clueweb12-1616wb-75-14860
201	raspberry pi	clueweb12-1700tw-22-12689
201	raspberry pi	clueweb12-1700tw-24-18392
201	raspberry pi	clueweb12-1700tw-24-18393
201	raspberry pi	clueweb12-1700tw-60-14505
202	uss carl vinson	clueweb12-0305wb-62-31165
202	uss carl vinson	clueweb12-0602wb-34-08563
202	uss carl vinson	clueweb12-0602wb-37-16519
202	uss carl vinson	clueweb12-0602wb-37-16520
202	uss carl vinson	clueweb12-0602wb-40-19720
202	uss carl vinson	clueweb12-0602wb-40-19721
202	uss carl vinson	clueweb12-0602wb-40-19722
202	uss carl vinson	clueweb12-0602wb-40-19723
202	uss carl vinson	clueweb12-0602wb-40-19724
202	uss carl vinson	clueweb12-0602wb-40-19725
202	uss carl vinson	clueweb12-0602wb-40-19726
202	uss carl vinson	clueweb12-0602wb-45-15703
202	uss carl vinson	clueweb12-0602wb-45-15704
202	uss carl vinson	clueweb12-1118wb-60-01282
202	uss carl vinson	clueweb12-1304wb-56-00880
202	uss carl vinson	clueweb12-1515wb-31-06377
202	uss carl vinson	clueweb12-1802wb-29-21108
203	reviews of les miserables	clueweb12-0004wb-95-22264
203	reviews of les miserables	clueweb12-0103wb-30-11697
203	reviews of les miserables	clueweb12-0110wb-22-12656
203	reviews of les miserables	clueweb12-0207wb-98-29332
203	reviews of les miserables	clueweb12-0305wb-14-15884
203	reviews of les miserables	clueweb12-0504wb-65-22028
203	reviews of les miserables	clueweb12-0703wb-64-25150
203	reviews of les miserables	clueweb12-0914wb-72-26039
203	reviews of les miserables	clueweb12-1009wb-55-09081
203	reviews of les miserables	clueweb12-1202wb-28-15923
203	reviews of les miserables	clueweb12-1211wb-98-18684
203	reviews of les miserables	clueweb12-1401wb-48-08855
203	reviews of les miserables	clueweb12-1500wb-22-10028
203	reviews of les miserables	clueweb12-1501wb-41-18155
203	reviews of les miserables	clueweb12-1508wb-82-28653
203	reviews of les miserables	clueweb12-1814wb-21-02710
203	reviews of les miserables	clueweb12-1900tw-44-12378
204	rules of golf	clueweb12-0000wb-31-33977
204	rules of golf	clueweb12-0007wb-32-33401
204	rules of golf	clueweb12-0206wb-70-00373
204	rules of golf	clueweb12-0211wb-27-17974
204	rules of golf	clueweb12-0303wb-97-28735
204	rules of golf	clueweb12-0701wb-01-17496
204	rules of golf	clueweb12-0701wb-14-12383
204	rules of golf	clueweb12-1209wb-56-12313
204	rules of golf	clueweb12-1301wb-51-22058
204	rules of golf	clueweb12-1301wb-58-07364
204	rules of golf	clueweb12-1302wb-00-25377
204	rules of golf	clueweb12-1304wb-51-29930
204	rules of golf	clueweb12-1304wb-88-18449
204	rules of golf	clueweb12-1802wb-41-15233
204	rules of golf	clueweb12-1803wb-34-05806
204	rules of golf	clueweb12-1911wb-86-26305
204	rules of golf	clueweb12-1912wb-52-13814
204	rules of golf	clueweb12-1912wb-52-13815
205	average charitable donation	clueweb12-0001wb-59-33072
205	average charitable donation	clueweb12-0006wb-17-23685
205	average charitable donation	clueweb12-0006wb-32-37841
205	average charitable donation	clueweb12-0009wb-38-29871
205	average charitable donation	clueweb12-0208wb-28-00304
205	average charitable donation	clueweb12-0402wb-62-23693
205	average charitable donation	clueweb12-0403wb-64-26188
205	average charitable donation	clueweb12-0404wb-02-01517
205	average charitable donation	clueweb12-0404wb-18-24380
205	average charitable donation	clueweb12-0405wb-49-12399
205	average charitable donation	clueweb12-0506wb-31-30726
205	average charitable donation	clueweb12-0603wb-89-11331
205	average charitable donation	clueweb12-0710wb-42-05248
205	average charitable donation	clueweb12-0807wb-90-26575
205	average charitable donation	clueweb12-0818wb-55-20010
205	average charitable donation	clueweb12-1100tw-15-15997
205	average charitable donation	clueweb12-1100tw-15-15998
205	average charitable donation	clueweb12-1107wb-61-05162
205	average charitable donation	clueweb12-1315wb-83-06891
206	wind power	clueweb12-0100wb-21-27367
206	wind power	clueweb12-0306wb-06-15430
206	wind power	clueweb12-0806wb-79-19660
206	wind power	clueweb12-0900tw-51-17096
206	wind power	clueweb12-1508wb-61-05586
206	wind power	clueweb12-1617wb-04-14197
206	wind power	clueweb12-1617wb-17-09841
207	bph treatment	clueweb12-0000tw-26-18693
207	bph treatment	clueweb12-0003wb-36-17694
207	bph treatment	clueweb12-0003wb-49-00579
207	bph treatment	clueweb12-0003wb-49-00580
207	bph treatment	clueweb12-0003wb-49-00581
207	bph treatment	clueweb12-0003wb-49-00588
207	bph treatment	clueweb12-0005wb-69-31364
207	bph treatment	clueweb12-0110wb-86-01800
207	bph treatment	clueweb12-0110wb-96-10956
207	bph treatment	clueweb12-0207wb-90-20840
207	bph treatment	clueweb12-0507wb-30-21602
207	bph treatment	clueweb12-0609wb-83-04441
207	bph treatment	clueweb12-1009wb-25-28479
207	bph treatment	clueweb12-1806wb-43-18892
207	bph treatment	clueweb12-1807wb-96-09969
207	bph treatment	clueweb12-1808wb-45-08679
207	bph treatment	clueweb12-1809wb-68-00674
